vid,sid,date,transId,transPage,hitNo,sOrigin,sDes,sMarket,sld
9134960862284175392,1485894085,20170201,rzlqfh,/vbook/actions/mobi/purchasetickets,10,akl,wlg,domestic,1
9135526771561523029,1485895370,20170201,ufzx8h,/vbook/actions/bookingconfirmation,85,kke,lhr,long haul,28
9137091028741878245,1485926890,20170201,2spfdh,/vbook/actions/mobi/purchasetickets,34,akl,syd,tasman,108
9137292269363220140,1485913201,20170201,wynebh,/vbook/actions/bookingconfirmation,59,chc,pmr,domestic,51
9137292269363220140,1485913201,20170201,mqg72h,/vbook/actions/bookingconfirmation,97,pmr,chc,domestic,53
9139508889171103617,1485934465,20170201,5xx3fh,/vbook/actions/bookingconfirmation,72,chc,npl,domestic,296
9140021661019758442,1485893697,20170201,ufpfuh,/vbook/actions/mobi/purchasetickets,23,akl,wlg,domestic,37
9141621463222881582,1485934884,20170201,lrkq8h,/vbook/actions/mobi/review,14,wre,zqn,domestic,220
9141621463222881582,1485935968,20170201,fqx3sh,/vbook/actions/mobi/review,20,wre,wlg,domestic,190
9144782786876684326,1485893262,20170201,wvwgqh,/vbook/actions/bookingconfirmation,100,akl,chc,domestic,1
9145066791556410287,1485911420,20170201,wyd8sh,/vbook/actions/bookingconfirmation,77,wlg,akl,domestic,234
9147127323635581014,1485933324,20170201,cbadbh,/vbook/actions/bookingconfirmation,31,zqn,nrt,long haul,172
9149967151712038227,1485921088,20170201,4cdi4h,/vbook/actions/bookingconfirmation,62,npe,akl,domestic,9
9151608336029294571,1485905727,20170201,wxld6h,/vbook/actions/bookingconfirmation,68,chc,wlg,domestic,36
9151726108268178176,1485900385,20170201,37scsh,/vbook/actions/mobi/bookingconfirmation,2,nsn,wlg,domestic,6
9151900054385549812,1485898981,20170201,em688h,/vbook/actions/mobi/purchasetickets,74,akl,tbu,pacific,83
9152838672361391421,1485938819,20170201,ixjxjh,/vbook/actions/bookingconfirmation,68,dud,chc,domestic,11
9152882554042307554,1485889617,20170201,q5ajuh,/vbook/actions/bookingconfirmation,73,akl,nou,pacific,155
9154486964831097061,1485907584,20170201,al7mbh,/vbook/actions/bookingconfirmation,59,wlg,akl,domestic,28
9156140956741282011,1485926943,20170201,hpfhqh,/vbook/actions/bookingconfirmation,102,akl,nsn,domestic,29
9156678974380292690,1485887165,20170201,uzkndh,/vbook/actions/bookingconfirmation,146,akl,lhr,long haul,127
9159269552555111766,1485895229,20170201,2dvgjh,/vbook/actions/bookingconfirmation,101,akl,npl,domestic,20
9159960230622968565,1485933107,20170201,cbbchh,/vbook/actions/bookingconfirmation,90,zqn,syd,tasman,48
9160604432794098438,1485889345,20170201,7j3uwh,/vbook/actions/bookingconfirmation,67,akl,chc,domestic,50
9160604432794098438,1485891531,20170201,uy558h,/vbook/actions/bookingconfirmation,56,chc,akl,domestic,51
9161220429888685290,1485898986,20170201,r2aefh,/vbook/actions/reservationholdconfirmation,36,akl,hnl,pacific,57
9164585760021063696,1485910879,20170201,flxp6h,/vbook/actions/bookingconfirmation,64,nsn,rot,domestic,28
9165731811989465873,1485899080,20170201,d6mynh,/vbook/actions/bookingconfirmation,98,akl,chc,domestic,1
9165731811989465873,1485906863,20170201,w2lsnh,/vbook/actions/bookingconfirmation,72,akl,chc,domestic,2
9167427997639368714,1485903095,20170201,2fv86h,/vbook/actions/bookingconfirmation,63,akl,wlg,domestic,7
9167992772935394772,1485894812,20170201,7sqv6h,/vbook/actions/bookingconfirmation,63,akl,wlg,domestic,1
9167992772935394772,1485908058,20170201,mwnnsh,/vbook/actions/bookingconfirmation,75,chc,pmr,domestic,6
9170069832044874192,1485890572,20170201,ikwc4h,/vbook/actions/bookingconfirmation,92,trg,wlg,domestic,2
9170170999946271807,1485904257,20170201,38i68h,/vbook/actions/bookingconfirmation,115,wlg,dud,domestic,30
9170377471932204898,1485912835,20170201,a4hn6h,/vbook/actions/bookingconfirmation,83,rot,chc,domestic,71
9171038750896874697,1485894280,20170201,akdpuh,/vbook/actions/bookingconfirmation,50,akl,wlg,domestic,7
9171527891827389608,1485911754,20170201,hk4hsh,/vbook/actions/bookingconfirmation,63,chc,chc,domestic,15
9171818674007826894,1485902068,20170201,imimlh,/vbook/actions/bookingconfirmation,63,akl,dud,domestic,7
9176439577782624716,1485939149,20170201,2licfh,/vbook/actions/mobi/bookingconfirmation,16,rot,akl,domestic,4
9179273375643149247,1485931857,20170201,vvnulh,/vbook/actions/bookingconfirmation,1,akl,wlg,domestic,36
9180381524454614932,1485936457,20170201,cbi22h,/vbook/actions/bookingconfirmation,72,akl,zqn,domestic,113
9181731381213171436,1485919490,20170201,nre3fh,/vbook/actions/bookingconfirmation,67,akl,wlg,domestic,10
9181731381213171436,1485928017,20170201,aqsa8h,/vbook/actions/bookingconfirmation,45,akl,wlg,domestic,24
9181731381213171436,1485928017,20170201,jefr2h,/vbook/actions/bookingconfirmation,82,wlg,akl,domestic,25
9181857356755343705,1485923393,20170201,ax28qh,/vbook/actions/bookingconfirmation,2,zqn,chc,domestic,21
9183298112272123747,1485887840,20170201,x8afdh,/vbook/actions/mobi/bookingconfirmation,1,akl,syd,tasman,90
9184143271612014132,1485917019,20170201,sh3uwh,/vbook/actions/bookingconfirmation,103,akl,bne,tasman,2
9184326516418928567,1485908888,20170201,6h6tqh,/vbook/actions/bookingconfirmation,48,wlg,mel,tasman,37
9184326516418928567,1485908888,20170201,jab3nh,/vbook/actions/bookingconfirmation,101,mel,wlg,tasman,39
9186080911763296942,1485929452,20170201,2k6rdh,/vbook/actions/mobi/purchasetickets,51,akl,nan,pacific,1
9187523565523209745,1485911355,20170201,ja7d8h,/vbook/actions/bookingconfirmation,88,wlg,akl,domestic,15
9187523565523209745,1485911355,20170201,2g6vyh,/vbook/actions/bookingconfirmation,131,wlg,chc,domestic,22
9188660314478231626,1485938014,20170201,gsl42h,/vbook/actions/bookingconfirmation,102,akl,ppq,domestic,9
9188660314478231626,1485938014,20170201,4pwzbh,/vbook/actions/bookingconfirmation,145,ppq,akl,domestic,11
9189519655869404014,1485886321,20170201,e5uxjh,/vbook/actions/bookingconfirmation,47,rot,wlg,domestic,12
9189816236239296067,1485909337,20170201,jagpyh,/vbook/actions/bookingconfirmation,75,tuo,akl,domestic,5
9189860749287204413,1485940273,20170201,2t24qh,/vbook/actions/bookingconfirmation,68,wlg,mel,tasman,14
9189932956260236126,1485927809,20170201,2kddyh,/vbook/actions/mobi/bookingconfirmation,16,nsn,akl,domestic,2
9190592650359344898,1485895533,20170201,ufvlyh,/vbook/actions/bookingconfirmation,54,zqn,nsn,domestic,75
9191789851027544314,1485938218,20170201,3w8f2h,/vbook/actions/bookingconfirmation,69,akl,hnl,pacific,135
9192049752202830119,1485926200,20170201,hpabyh,/vbook/actions/bookingconfirmation,130,akl,chc,domestic,42
9192936255034727352,1485943894,20170201,5ynajh,/vbook/actions/bookingconfirmation,2,zqn,akl,domestic,16
9192936255034727352,1485943894,20170201,yg77yh,/vbook/actions/bookingconfirmation,54,zqn,akl,domestic,16
9192936255034727352,1485943894,20170201,zva7yh,/vbook/actions/bookingconfirmation,114,akl,zqn,domestic,18
9193772906099880137,1485928960,20170201,aqxv6h,/vbook/actions/bookingconfirmation,53,zqn,chc,domestic,6
9194018122976919682,1485898047,20170201,d55xwh,/vbook/actions/bookingconfirmation,114,akl,syd,tasman,164
9194018122976919682,1485898047,20170201,6gw46h,/vbook/actions/bookingconfirmation,174,akl,syd,tasman,164
9194497741959220756,1485912155,20170201,77bqfh,/vbook/actions/bookingconfirmation,60,akl,wlg,domestic,14
9197782142154756588,1485886569,20170201,tjjiyh,/vbook/actions/bookingconfirmation,1,akl,wlg,domestic,5
9198353432932215629,1485939198,20170201,3xbcdh,/vbook/actions/bookingconfirmation,105,chc,adl,tasman,113
